兵器名	価格	編|成	耐|久	最大|索敵	最大|防御	移動力|通常/高速	燃|料	武器名称	弾数	火|力	射|程	回|数
日本軍・|歩兵（甲）	60	10	1|軟	地2|(2)	地28	2 / 3	55	三八式歩兵銃|火炎瓶|白兵	7|2|3	1|3|2	1|1|1	1|1|1
日本軍・|機関銃携行歩兵（甲）	80	10	1|軟	地2|(2)	低28	2 / 3	60	九九式軽機関銃|三八式歩兵銃|火炎瓶|白兵	3|6|2|3	1|1|3|2	1|1|1|1	2|1|1|1
日本軍・|重兵装歩兵（甲）	100	10	1|軟	地2|(2)	地35	2 / 3	60	九九式小銃|擲弾筒|火炎放射器|白兵	6|2|2|3	1|3|5|2	1|1|1|1	1|1|1|1
日本軍・|重兵装歩兵（甲）|変形	-	10	1|軟	地2|(2)	地43	1 / 1	60	九二式重機関銃|擲弾筒	5|2	1|3	1|1	3|1
日本軍・|近衛兵（甲）	120	10	1|軟	地3|(1)	地39	2 / 3	70	九九式軽機関銃|九九式小銃|7cm噴進砲|火炎放射器|白兵	3|7|2|2|4	1|1|4|5|2	1|1|1|1|1	2|1|1|1|1
日本軍・|初年兵	50	10	1|軟	地1|(2)	低27	2 / 3	50	九九式軽機関銃|三八式歩兵銃|火炎瓶|白兵	3|6|2|3	1|1|3|2	1|1|1|1	2|1|1|1
日本軍・|古年次兵	70	10	1|軟	地2|(2)	地29	2 / 3	55	九九式軽機関銃|三八式歩兵銃|九七式自動砲|白兵	3|6|2|3	1|1|1|2	1|1|1|1	2|1|1|1
日本軍・|重兵装歩兵（乙）	100	10	1|軟	地2|(2)	地35	2 / 3	60	九九式小銃|擲弾筒|火炎放射器|白兵	6|2|2|3	1|3|5|2	1|1|1|1	1|1|1|1
日本軍・|重兵装歩兵（乙）|変形	-	10	1|軟	地2|(1)	地43	1 / 1	60	九二式重機関銃|擲弾筒	5|2	1|3	1|1	3|1
日本軍・|近衛兵（乙）	120	10	2|軟	地3|(1)	地39	2 / 3	70	九九式軽機関銃|九九式小銃|7cm噴進砲|火炎放射器|白兵	3|7|2|2|4	1|1|4|5|2	1|1|1|1|1	2|1|1|1|1
日本軍・|動員兵（甲）	40	10	1|軟	地1|(3)	低27	2 / 3	50	三八式歩兵銃|白兵	6|2	1|2	1|1	1|1
日本軍・|歩兵（乙）	60	10	1|軟	地2|(2)	地28	2 / 3	55	三八式歩兵銃|火炎瓶|白兵	7|2|3	1|3|2	1|1|1	1|1|1
日本軍・|機関銃携行歩兵（乙）	80	10	1|軟	地2|(2)	低28	2 / 3	60	九九式軽機関銃|三八式歩兵銃|擲弾筒|白兵	3|6|2|3	1|1|3|2	1|1|1|1	2|1|1|1
日本軍・|重兵装歩兵（丙）	100	10	1|軟	地2|(2)	地35	2 / 3	60	九九式小銃|擲弾筒|火炎放射器|白兵	6|2|2|3	1|3|5|2	1|1|1|1	1|1|1|1
日本軍・|重兵装歩兵（丙）|変形	-	10	1|軟	地2|(1)	地43	1 / 1	60	九二式重機関銃|擲弾筒	5|2	1|3	1|1	3|1
日本軍・|動員兵（乙）	40	10	1|軟	地1|(3)	低26	2 / 3	50	三八式歩兵銃|火炎瓶|白兵	6|2|2	1|3|2	1|1|1	1|1|1
日本軍・|歩兵（丙）	60	10	1|軟	地2|(2)	地28	2 / 3	55	三八式歩兵銃|火炎瓶|白兵	7|2|3	1|3|2	1|1|1	1|1|1
日本軍・|機関銃携行歩兵（丙）	80	10	1|軟	地2|(2)	低28	2 / 3	60	九九式軽機関銃|三八式歩兵銃|火炎瓶|白兵	3|6|2|3	1|1|3|2	1|1|1|1	2|1|1|1
日本軍・|学徒兵	50	10	1|軟	地1|(3)	低25	2 / 3	60	九九式小銃|白兵	6|3	1|2	1|1	1|1
日本軍・|機関銃携行学徒兵	70	10	1|軟	地1|(2)	低26	2 / 3	65	九九式軽機関銃|九九式小銃|白兵	3|5|3	1|1|2	1|1|1	2|1|1
日本軍・|重機関銃携行学徒兵	90	10	1|軟	地2|(2)	地29	2 / 3	65	九九式小銃|白兵	5|3	1|2	1|1	1|1
日本軍・|重機関銃携行学徒兵|変形	-	10	1|軟	地2|(1)	地35	1 / 1	65	九二式重機関銃	4	1	1	3
日本軍・|初年学徒兵	40	10	1|軟	地1|(3)	低25	2 / 3	60	三八式歩兵銃|白兵	6|3	1|2	1|1	1|1
日本軍・|古年次学徒兵	60	10	1|軟	地1|(2)	低27	2 / 3	60	九九式小銃|白兵	6|3	1|2	1|1	1|1
日本軍・|機関銃携行学徒兵	70	10	1|軟	地1|(2)	低26	2 / 3	65	九九式軽機関銃|九九式小銃|白兵	3|5|3	1|1|2	1|1|1	2|1|1
日本軍・|重兵装学徒兵	90	10	1|軟	地2|(2)	地29	2 / 3	65	九九式小銃|白兵	5|3	1|2	1|1	1|1
日本軍・|重兵装学徒兵|変形	-	10	1|軟	地2|(1)	地34	1 / 1	65	九二式重機関銃	4	1	1	3
日本軍・|騎兵（甲）	120	10	2|軟	地1|(2)	低27	3 / 4	90	四四式騎銃|突撃	7|6	1|2	1|1	1|1
日本軍・|近衛騎兵	150	10	3|軟	地2|(2)	地35	3 / 4	100	四四式騎銃|突撃	7|8	1|2	1|1	1|1
日本軍・|騎兵（乙）	120	10	2|軟	地1|(2)	低27	3 / 4	90	四四式騎銃|突撃	7|6	1|2	1|1	1|1
日本軍・|重兵装騎兵	160	10	2|軟	地2|(2)	地33	3 / 4	95	四四式騎銃|九七式自動砲|突撃	6|2|8	1|1|2	1|1|1	1|1|1
日本軍・|空挺兵（甲）	100	10	1|軟	地2|(2)	地31	2 / 3	55	九九式軽機関銃|九九式小銃|手榴弾|白兵	2|6|1|3	1|1|4|2	1|1|1|1	2|1|1|1
日本軍・|精鋭空挺兵（甲）	150	10	1|軟	地3|(1)	地41	2 / 3	55	九九式軽機関銃|一〇〇式機関短銃|手榴弾|白兵	2|7|1|3	1|1|4|2	1|1|1|1	2|1|1|1
日本軍・|空挺兵（乙）	100	10	1|軟	地2|(2)	地31	2 / 3	55	九九式軽機関銃|九九式小銃|白兵	2|6|3	1|1|2	1|1|1	2|1|1
日本軍・|精鋭空挺兵（乙）	160	10	1|軟	地3|(1)	地39	2 / 3	55	九九式軽機関銃|一〇〇式機関短銃|火炎放射器|白兵	2|6|2|3	1|1|5|2	1|1|1|1	2|1|1|1
日本軍・|工兵	120	10	1|軟	地2|(2)	低27	2 / 3	55	三八式歩兵銃	6	1	1	1
日本軍・|民兵	40	10	1|軟	地1|(4)	低26	2 / 2	45	九九式小銃|突撃	3|3	1|2	1|1	1|1
日本軍・|海軍陸戦隊歩兵	70	10	1|軟	地2|(2)	地28	2 / 3	55	三八式歩兵銃|火炎瓶|白兵	7|2|3	1|3|2	1|1|1	1|1|1
日本軍・|海軍特別陸戦隊歩兵	70	10	1|軟	地2|(2)	地35	2 / 3	55	九九式軽機関銃|九九式小銃|火炎瓶|白兵	3|6|2|3	1|1|3|2	1|1|1|1	2|1|1|1
