兵器名	価格	編|成	耐|久	最大|索敵	最大|防御	移動力|通常/高速	燃料	武器名称	弾数	火|力	射|程	回|数
牽引式高射機関砲|九六式25粍双連機銃	140	10	2|軟	地2(3)	低31	3 / 4	40					
牽引式高射機関砲|九六式25粍双連機銃|変形	-	10	2|軟	低3(1)	地34	1 / 1	40	25mm機関砲	11	3	1	1
牽引式高射機関砲|九八式20粍高射機関砲	130	10	2|軟	地2(3)	低31	3 / 4	40					
牽引式高射機関砲|九八式20粍高射機関砲|変形	-	10	2|軟	低3(1)	地34	1 / 1	40	20mm機関砲	11	3	1	1
牽引式高射砲|十四年式10糎高射砲	320	10	2|軟	地2(4)	低30	2 / 3	36					
牽引式高射砲|十四年式10糎高射砲|変形	-	10	2|軟	低4(2)	高30	1 / 1	36	10cm高射砲	8	5	2	1
牽引式高射砲|八八式7糎野戦高射砲	240	10	2|軟	地2(4)	低30	2 / 3	36					
牽引式高射砲|八八式7糎野戦高射砲|変形	-	10	2|軟	低4(2)	高31	1 / 1	36	75mm高射砲	8	4	2	1
牽引式高射砲|九九式8糎高射砲	270	10	2|軟	地2(4)	低30	2 / 3	36					
牽引式高射砲|九九式8糎高射砲|変形	-	10	2|軟	低4(2)	高31	1 / 1	36	88mm高射砲	8	5	2	1
