総合順位	国	部隊名	価格	耐久度	燃料	通常移動力	高速移動力	ECM回避力	移動タイプ	地上[策敵範囲	回避力	主砲性能	機銃性能	副武器
火力	弾数	命中率	弾数	命中率
車両	兵士	艦船	潜水艦	ヘリ	車両	兵士
1	日本	90式戦車SP2	700 (10)	3 (4)	80 (2)	6 (1)	7 (1)	0 (2)	C (1)	3 (1)	53 (1)	4 (2)	4 (3)	75 (1)	65 (1)	44 (1)	30 (1)	6 (5)	36 (1)	47 (1)	54 (1)	- (2)
6	アメリカ	M-1A2 エイブラムス	400 (4)	3 (4)	70 (7)	6 (1)	7 (1)	0 (2)	E (10)	2 (2)	50 (4)	4 (2)	4 (3)	71 (2)	61 (2)	43 (2)	29 (2)	5 (8)	30 (2)	43 (2)	48 (2)	- (2)
10	ロシア	T-80	380 (2)	3 (4)	70 (7)	6 (1)	7 (1)	4 (1)	C (1)	2 (2)	47 (9)	4 (2)	3 (9)	70 (8)	60 (8)	41 (9)	28 (8)	4 (9)	30 (2)	43 (2)	48 (2)	○ (1)
5	ドイツ	レオパルト2A6	500 (8)	4 (1)	80 (2)	6 (1)	7 (1)	0 (2)	A (4)	2 (2)	50 (4)	5 (1)	4 (3)	71 (2)	61 (2)	42 (8)	28 (8)	12 (2)	30 (2)	43 (2)	48 (2)	- (2)
8	イギリス	チャレンジャー2	400 (4)	3 (4)	75 (6)	5 (10)	6 (10)	0 (2)	A (4)	2 (2)	52 (3)	4 (2)	5 (1)	70 (8)	60 (8)	43 (2)	29 (2)	10 (4)	30 (2)	43 (2)	48 (2)	- (2)
4	フランス	ルクレール	430 (6)	3 (4)	82 (1)	6 (1)	7 (1)	0 (2)	A (4)	2 (2)	49 (7)	4 (2)	4 (3)	71 (2)	61 (2)	43 (2)	29 (2)	6 (5)	30 (2)	43 (2)	48 (2)	- (2)
3	イスラエル	メルカバMk.4	500 (8)	4 (1)	80 (2)	6 (1)	7 (1)	0 (2)	B (9)	2 (2)	50 (4)	4 (2)	5 (1)	71 (2)	61 (2)	43 (2)	29 (2)	16 (1)	30 (2)	43 (2)	48 (2)	○ (1)
9	中国	98式戦車	330 (1)	3 (4)	70 (7)	6 (1)	7 (1)	0 (2)	A (4)	2 (2)	46 (10)	4 (2)	4 (3)	67 (10)	57 (10)	41 (9)	28 (8)	6 (5)	30 (2)	43 (2)	48 (2)	- (2)
7	イタリア	C-1 アリエテ	390 (3)	3 (4)	60 (10)	6 (1)	7 (1)	0 (2)	C (1)	2 (2)	48 (8)	4 (2)	3 (9)	71 (2)	61 (2)	43 (2)	29 (2)	4 (9)	30 (2)	43 (2)	48 (2)	- (2)
2	スウェーデン	Strv.122	470 (7)	4 (1)	80 (2)	6 (1)	7 (1)	0 (2)	A (4)	2 (2)	53 (1)	4 (2)	4 (3)	71 (2)	61 (2)	43 (2)	29 (2)	12 (2)	30 (2)	43 (2)	48 (2)	- (2)
平均	450	3.3	74.7	5.9	6.9	0.4	-	2.1	49.8	4.1	4	70.2	60,8	42.6	28.8	8.1	30.6	43.4	48.6	-
