===== 审查表 vis_enemy_NNN 编号对照（你确认的标准）=====
  vis_001 (player/enemy) = ww1_arm_rolls            罗尔斯装甲车
  vis_002 (player/enemy) = ww1_arm_ft17             FT-17轻型坦克
  vis_003 (player/enemy) = ww1_arty_77mm            77mm野战炮
  vis_004 (player/enemy) = ww1_inf_cavalry          骑兵斥候
  vis_005 (player/enemy) = ww1_sup_engineer         工兵班
  vis_006 (player/enemy) = ww2_inf_hellcat          M18地狱猫
  vis_007 (player/enemy) = ww2_arm_sherman          M4谢尔曼
  vis_008 (player/enemy) = ww2_arm_tiger            虎式坦克
  vis_009 (player/enemy) = ww2_inf_bazooka          巴祖卡组
  vis_010 (player/enemy) = ww2_inf_panzerschrek     铁拳反坦克组
  vis_011 (player/enemy) = ww2_arty_m81             81mm迫击炮
  vis_012 (player/enemy) = ww1_arty_m81             81mm迫击炮组
  vis_013 (player/enemy) = cold_inf_btr60           BTR-60装甲车
  vis_014 (player/enemy) = cold_arm_t55             T-55坦克
  vis_015 (player/enemy) = cold_inf_bmp1            BMP-1步战车
  vis_016 (player/enemy) = cold_sup_m113            M113装甲车
  vis_017 (player/enemy) = cold_sup_zsu23           ZSU-23-4自行高炮
  vis_018 (player/enemy) = mod_inf_technical        皮卡武装
  vis_019 (player/enemy) = mod_arm_m1a1             M1A1主战坦克
  vis_020 (player/enemy) = mod_sup_m6               自行高炮M6
  vis_021 (player/enemy) = mod_arty_m270            M270火箭炮
  vis_022 (player/enemy) = mod_inf_scout_drone      侦察无人机
  vis_023 (player/enemy) = mod_arm_m1a2sep          M1A2 SEP主战坦克
  vis_024 (player/enemy) = fut_inf_scout_mech       侦察机甲
  vis_025 (player/enemy) = fut_arm_hovertank        悬浮坦克
  vis_026 (player/enemy) = fut_arm_prism            光棱坦克
  vis_027 (player/enemy) = fut_arm_heavy_mech       重装机甲
  vis_028 (player/enemy) = fut_arm_nexus            虚空领主
  vis_030 (player/enemy) = fut_sup_bulwark          壁垒
  vis_031 (player/enemy) = fut_arm_titan_mk2        泰坦Mk.II
  vis_032 (player/enemy) = fut_inf_storm_rider      暴风骑士
  vis_033 (player/enemy) = fut_air_heavy_carrier    重装母舰
  vis_034 (player/enemy) = fut_air_regen_frame      再生骨架
  vis_035 (player/enemy) = mod_arm_abrams_mk2       艾布拉姆斯Mk.II
  vis_036 (player/enemy) = ww1_inf_mp18             步兵班·MP18
  vis_037 (player/enemy) = ww1_inf_rifle            步兵班·步枪
  vis_038 (player/enemy) = ww1_sup_mg_nest          机枪巢
  vis_039 (player/enemy) = ww1_arty_mortar          迫击炮组
  vis_040 (player/enemy) = ww1_inf_storm_e          暴风突击队
  vis_041 (player/enemy) = ww1_arm_rolls_e          装甲车
  vis_042 (player/enemy) = ww1_boss_av7             圣沙蒙坦克
  vis_043 (player/enemy) = ww2_inf_thompson         步兵班·汤普森
  vis_044 (player/enemy) = ww2_inf_garand           步枪班·加兰德
  vis_045 (player/enemy) = ww2_sup_mg42             MG42机枪组
  vis_046 (player/enemy) = ww2_inf_panzerschreck_e  反坦克组
  vis_047 (player/enemy) = ww2_inf_para_e           伞兵精英
  vis_048 (player/enemy) = ww2_arm_panther_e        黑豹坦克
  vis_049 (player/enemy) = ww2_boss_kingtiger       虎王坦克
  vis_050 (player/enemy) = cold_inf_ak              苏军步兵
  vis_051 (player/enemy) = cold_inf_m60             美军步兵
  vis_052 (player/enemy) = cold_arm_btr_e           BTR装甲车
  vis_053 (player/enemy) = cold_air_m113_e          M113装甲车
  vis_054 (player/enemy) = cold_inf_spetsnaz_e      特种部队
  vis_055 (player/enemy) = cold_arm_t72_e           T-72坦克
  vis_056 (player/enemy) = cold_boss_mig            米格-29
  vis_057 (player/enemy) = mod_inf_marine           海军陆战队
  vis_058 (player/enemy) = mod_air_technical_e      皮卡武装
  vis_059 (player/enemy) = mod_arm_stryker_e        斯特赖克装甲车
  vis_060 (player/enemy) = mod_arty_mlrs_e          火箭炮车
  vis_061 (player/enemy) = mod_inf_delta_e          三角洲部队
  vis_062 (player/enemy) = mod_arm_abrams_e         M1A2坦克
  vis_063 (player/enemy) = mod_air_apache_e         阿帕奇直升机
  vis_064 (player/enemy) = mod_boss_command         指挥中枢
  vis_065 (player/enemy) = fut_air_drone            无人机群
  vis_066 (player/enemy) = fut_inf_cyborg           机械步兵
  vis_067 (player/enemy) = fut_arm_mech_e           机甲步兵
  vis_068 (player/enemy) = fut_arm_hovertank_e      悬浮坦克
  vis_069 (player/enemy) = fut_inf_spectre_e        幽灵特工
  vis_070 (player/enemy) = fut_arm_colossus_e       巨神机甲
  vis_071 (player/enemy) = fut_boss_nexus           风暴核心
  vis_072 (player/enemy) = ww1_fort_pillbox         混凝土机枪碉堡
  vis_073 (player/enemy) = ww1_fort_artillery       要塞炮台
  vis_074 (player/enemy) = ww2_fort_bunker          混凝土碉堡
  vis_075 (player/enemy) = ww2_fort_flak            88mm防空塔
  vis_076 (player/enemy) = cold_fort_missile        导弹发射井
  vis_077 (player/enemy) = cold_fort_radar          雷达站
  vis_078 (player/enemy) = mod_fort_citadel         要塞核心
  vis_079 (player/enemy) = mod_fort_phalanx         近防炮系统
  vis_080 (player/enemy) = fut_fort_ion             离子炮台
  vis_081 (player/enemy) = fut_fort_shield          能量护盾发生器
